gene,pLI
C1orf172,0.153805474
XKR8,1.43E-05
STX12,0.896720266
EYA3,0.995035731
PPP1R8,0.95405437
FGR,0.177174439
IFI6,0.230931225
SESN2,0.000763709
FAM76A,0.000561029
ATPIF1,0.059353504
AHDC1,0.999431448
MED18,0.000448334
PTAFR,0.118775353
GPR3,0.020935797
THEMIS2,0.064721712
WASF2,0.975317446
SMPDL3B,1.39E-07
DNAJC8,0.582006642
RPA2,0.888461679
SRSF4,0.934762697
OPRD1,0.109062189
SNRNP40,0.825363236
PHACTR4,0.004273776
TAF12,0.892665248
SDC3,0.527916181
LAPTM5,0.735702166
RCC1,0.193943931
PUM1,0.999998855
PTPRU,0.990698956
ZCCHC17,0.21514759
GMEB1,0.960593932
TMEM200B,0.155282701
EPB41,0.062109871
RAB42,0.002554984
TRNAU1AP,0.882819952
MATN1,0.005273986
NKAIN1,0.615737173
YTHDF2,0.991165728
MECR,0.003603132
FABP3,0.354913337
EIF3I,0.417329825
COL16A1,3.38E-15
CCDC28B,9.97E-08
PEF1,0.323496549
BAI2,0.995235377
SERINC2,1.03E-06
KPNA6,0.988827606
AC114494.1,0.029679158
PTP4A2,0.760772901
SPOCD1,8.80E-06
TXLNA,0.995925358
HCRTR1,0.261800018
IQCC,2.26E-07
TMEM234,0.000523998
DCDC2B,8.88E-08
TINAGL1,0.245105548
KHDRBS1,0.946876459
TMEM39B,0.021450432
BSDC1,0.482345221
TMEM54,0.164454121
TSSK3,0.763235263
FAM167B,0.002691153
ZBTB8B,0.360954125
HPCA,0.433846186
MARCKSL1,0.653774932
KIAA1522,0.802365147
ZBTB8A,0.106372648
ZBTB8OS,0.955749358
FNDC5,0.406509132
HDAC1,0.93791699
SYNC,0.041685306
RNF19B,0.625353365
RBBP4,0.989804589
YARS,0.000308554
LCK,0.999425041
S100PBP,0.947039389
PHC2,0.205656048
TRIM62,0.001611418
SFPQ,0.99952726
SMIM12,0.396299543
ADC,0.00234311
ZMYM1,0.001729001
GJB3,0.002733071
C1orf94,0.00437226
AK2,0.005565586
A3GALT2,6.50E-07
GJA4,0.239138209
DLGAP3,0.999638516
GJB4,1.96E-06
ZNF362,0.928285965
ZSCAN20,0.071955283
ZMYM4,0.999999929
ZMYM6,1.40E-08
HMGB4,9.96E-06
GJB5,7.71E-05
COL8A2,0.699343493
KIAA0319L,0.188543869
TEKT2,4.73E-09
AGO3,0.999998844
ADPRHL2,6.50E-05
AGO4,0.990043812
C1orf216,0.128378758
MAP7D1,0.973584104
CLSPN,0.991559393
PSMB2,0.972351383
AGO1,0.999999463
NCDN,0.996735084
EVA1B,0.656674968
THRAP3,0.999996899
SH3D21,0.000722998
TRAPPC3,0.81053922
TFAP2E,0.000972259
LSM10,0.615647823
STK40,0.991723985
DNALI1,6.82E-08
EPHA10,3.16E-18
CDCA8,0.097153232
ZC3H12A,0.911632715
MTF1,0.991394717
C1orf122,0.1232465
CSF3R,1.42E-06
OSCP1,0.000148147
SF3A3,0.999895352
RSPO1,0.002910514
FHL3,0.534417266
MRPS15,0.000342016
GNL2,0.45303247
SNIP1,0.905058049
GRIK3,0.99998017
YRDC,0.133395608
MANEAL,0.004389044
INPP5B,7.43E-09
MEAF6,0.730388139
C1orf109,6.27E-08
PPIE,0.98080984
KIAA0754,0.021036127
PABPC4,0.992493064
NT5C1A,8.15E-05
GJA9,3.07E-06
HPCAL4,0.018422751
HEYL,6.81E-07
MYCBP,0.739328409
UTP11L,1.27E-06
MYCL,0.358812473
BMP8A,0.456963119
TRIT1,9.43E-10
RRAGC,0.600078052
BMP8B,0.774529936
MACF1,1
AKIRIN1,0.67201582
NDUFS5,0.098217332
RHBDL2,2.70E-06
PPT1,3.75E-05
RLF,0.999999867
ZFP69,8.56E-08
CTPS1,0.932192404
SCMH1,0.524101684
TMCO2,0.039711313
KCNQ4,0.985178282
EXO5,0.000872651
SLFNL1,0.000108969
ZFP69B,2.52E-09
SMAP2,0.014285645
FOXO6,0.437580051
COL9A2,0.182801206
NFYC,0.63195935
ZMPSTE24,1.25E-07
RIMS3,0.007251108
CITED4,0.358265029
CAP1,0.585940926
ZNF684,0.002217419
MFSD2A,0.91767122
HIVEP3,0.030810602
FOXJ3,0.977575009
PPCS,0.003536336
ZNF691,0.41775865
C1orf50,0.007015926
ZMYND12,0.001059947
SLC2A1,0.93980813
YBX1,0.990640769
GUCA2A,0.006072258
CLDN19,0.175565901
GUCA2B,0.707935696
PPIH,0.004755027
CCDC23,0.213154888
FAM183A,0.029326736
LEPRE1,1.64E-17
EDN2,0.011086441
ERMAP,5.81E-05
CCDC30,6.07E-12
RIMKLA,0.087395327
EBNA1BP2,2.38E-06
PTPRF,0.999998379
ATP6V0B,0.927635231
C1orf210,0.001219636
B4GALT2,0.295417381
KDM4A,0.999993865
WDR65,8.58E-09
HYI,3.16E-08
MPL,1.44E-06
DPH2,0.006846748
SLC6A9,0.044253041
ARTN,0.293100342
SZT2,1.52E-07
IPO13,0.972444338
CDC20,0.000181854
MED8,8.16E-06
TMEM125,0.000428556
ST3GAL3,0.573989459
ELOVL1,0.22341453
CCDC24,2.01E-08
TIE1,8.71E-12
PTCH2,6.11E-10
MUTYH,8.57E-11
RNF220,0.999277879
ZSWIM5,0.116879096
KLF17,4.25E-09
TCTEX1D4,0.208823534
DMAP1,0.336141633
KIF2C,0.017194072
TMEM53,0.038975168
BEST4,0.003095114
RPS8,0.965122842
HPDL,0.013964827
UROD,0.00014221
ERI3,0.129756091
EIF2B3,0.393440243
PLK3,6.25E-05
HECTD3,0.01704278
TOE1,6.59E-09
MAST2,5.44E-11
CCDC163P,0.143398569
PIK3R3,1.41E-06
UQCRH,0.218440721
PRDX1,1.44E-07
MMACHC,5.26E-14
NSUN4,1.39E-06
CCDC17,3.59E-13
NASP,0.4702163
FAAH,5.93E-07
RAD54L,2.74E-13
POMGNT1,1.68E-09
LURAP1,0.220934119
TSPAN1,0.000714382
TMEM69,0.000261683
TESK2,8.65E-06
IPP,0.00253171
AKR1A1,0.000107486
LRRC41,0.999804641
GPBP1L1,0.43532405
MOB3C,0.034004954
MKNK1,0.000222399
CYP4B1,5.37E-10
STIL,0.20268784
CYP4Z1,5.28E-06
ATPAF1,0.236382638
CMPK1,0.31927351
PDZK1IP1,0.000484065
CYP4X1,1.72E-06
TAL1,0.824692215
KNCN,0.029530671
TRABD2B,0.370916244
DMBX1,0.915995647
EFCAB14,0.000132863
CYP4A11,1.57E-15
CYP4A22,1.42E-08
RNF11,0.420327239
BEND5,0.114990689
TXNDC12,0.344869173
CDKN2C,0.315707026
FAF1,0.997397842
ZFYVE9,0.943796744
OSBPL9,0.998515313
TTC39A,0.098310255
EPS15,0.241707066
SLC5A9,6.42E-13
BTF3L4,0.451300212
ELAVL4,0.976912762
AGBL4,3.58E-06
RAB3B,0.15644302
NRD1,0.878722429
KTI12,0.034293834
SPATA6,2.03E-11
ZCCHC11,0.999999999
SCP2,0.00013976
NDC1,0.937525026
DMRTB1,0.589036511
GLIS1,0.099980948
MAGOH,0.747938336
ZYG11B,0.999923789
CC2D1B,4.76E-10
CPT2,4.77E-07
C1orf123,1.26E-07
ORC1,3.39E-05
GPX7,0.000179755
SELRC1,0.167434927
ECHDC2,1.18E-07
FAM159A,0.000284218
PODN,5.20E-07
LRP8,0.99998576
PRPF38A,0.996467619
SLC1A7,1.87E-05
ACOT11,1.33E-10
HSPB11,0.00497874
CYB5RL,4.23E-05
SSBP3,0.999756196
YIPF1,0.017379324
DIO1,0.271104149
LRRC42,1.67E-06
PARS2,0.701898
TMEM59,2.23E-07
MROH7,6.65E-19
TCEANC2,2.81E-05
CDCP2,6.92E-10
TTC4,0.043967592
TTC22,0.000878027
FAM151A,3.92E-13
LDLRAD1,0.000101665
MRPL37,0.000268371
C1orf177,2.53E-11
JUN,0.460851901
C8A,5.36E-11
MYSM1,0.020231645
TMEM61,0.004375773
FGGY,1.21E-11
OMA1,3.51E-09
DHCR24,0.969136893
C1orf168,2.36E-30
C1orf87,1.58E-17
CYP2J2,4.51E-12
C8B,1.49E-09
PPAP2B,0.961834123
PCSK9,1.03E-10
PRKAA2,1.44E-05
DAB1,0.981408567
USP24,0.999999998
TACSTD2,0.205248032
BSND,4.41E-07
HOOK1,4.16E-05
ALG6,0.055367626
NFIA,0.999555166
KANK4,5.40E-08
ITGB3BP,1.47E-05
DOCK7,0.771361086
ANGPTL3,2.12E-07
TM2D1,0.042061483
UBE2U,7.81E-08
PGM1,9.96E-06
ROR1,0.906688532
USP1,0.993180568
RAVER2,1.86E-06
INADL,6.18E-26
L1TD1,0.000340201
ATG4C,3.33E-09
EFCAB7,1.67E-12
CACHD1,0.838036969
JAK1,0.99590968
SGIP1,0.999651093
IL23R,0.006495296
C1orf141,2.70E-05
MIER1,0.966295466
TCTEX1D1,0.006424682
LEPROT,0.094789357
PDE4B,0.709078617
INSL5,1.52E-05
DIRAS3,0.037239176
SERBP1,0.999863114
IL12RB2,4.51E-06
LEPR,0.999805342
WDR78,7.88E-11
GNG12,0.553351818
AK4,0.236133361
SLC35D1,0.001854201
DNAJC6,0.999188351
GADD45A,0.109847669
TNNI3K,1.80E-38
PTGER3,0.787642829
TYW3,0.43187196
CRYZ,1.14E-14
FPGT,5.97E-08
SRSF11,0.999787767
ZRANB2,0.99288109
DEPDC1,3.30E-07
WLS,0.344541187
NEGR1,0.951349395
C1orf173,4.16E-32
CTH,4.09E-05
LRRC7,0.999998533
ANKRD13C,0.999095558
RPE65,1.46E-07
FPGT-TNNI3K,1.84E-38
HHLA3,0.00618097
LRRC40,2.65E-19
LRRIQ3,3.22E-15
IFI44,4.72E-14
SLC44A5,0.03422869
FUBP1,0.999972831
DNAJB4,0.840407621
ST6GALNAC5,0.852521023
RABGGTB,0.449469062
NEXN,3.66E-06
PIGK,0.000544788
IFI44L,2.22E-10
LHX8,0.663323206
ST6GALNAC3,0.178471681
ASB17,0.006158696
GIPC2,3.42E-08
ACADM,8.44E-10
MSH4,3.70E-15
PTGFR,0.760040675
AK5,0.139499449
ZZZ3,0.999729639
USP33,0.996116691
FAM73A,0.000750459
C1orf52,0.359076552
WDR63,0.000118222
LPHN2,0.999999945
LPAR3,0.786363329
DDAH1,0.168276873
SAMD13,0.128562761
ELTD1,5.26E-07
MCOLN2,1.32E-10
PRKACB,0.612478409
SYDE2,3.20E-12
DNASE2B,3.79E-14
BCL10,0.118213219
SSX2IP,0.000829859
CYR61,0.882250776
MCOLN3,3.78E-07
TTLL7,0.268072469
RPF1,9.48E-07
CTBS,2.01E-07
GNG5,0.524989345
SH3GLB1,0.730421397
CCBL2,3.05E-08
SEP15,0.428149535
GBP4,1.42E-09
ODF2L,3.32E-09
COL24A1,1.06E-25
HS2ST1,0.535866622
GTF2B,0.489078694
GBP7,5.51E-11
CLCA4,3.19E-09
PKN2,0.999995223
RP5-1052I5.2,0.088823164
GBP1,1.81E-12
CLCA1,6.08E-06
ZNHIT6,0.000536151
CLCA2,1.91E-20
GBP3,5.83E-18
RBMXL1,0.119596956
GBP2,1.97E-05
LMO4,0.816026561
GBP6,2.45E-10
HFM1,1.45E-23
CDC7,0.352414094
BTBD8,1.30E-06
BARHL2,0.222344944
ZNF326,0.977917717
GBP5,7.95E-06
GLMN,4.17E-06
ZNF644,0.99732858
EPHX4,0.033543927
C1orf146,0.02404793
GFI1,0.029628557
LRRC8C,0.016527923
EVI5,2.33E-06
RPAP2,0.002085534
TGFBR3,0.011054798
BRDT,2.47E-06
LRRC8B,0.806424943
LRRC8D,0.868441355
ABCD3,0.999695623
FAM69A,0.090865226
TMEM56,0.338393703
ARHGAP29,0.999986514
ABCA4,1.27E-28
F3,0.132021361
CNN3,0.864370513
RPL5,0.994762229
BCAR3,0.916779855
RWDD3,1.52E-06
MTF2,0.994599741
TMED5,0.002437131
DR1,0.835491729
FNBP1L,0.965504529
ALG14,0.000832661
SLC44A3,1.82E-24
DNTTIP2,0.000217904
RP11-57H12.6,0.002746431
GCLM,0.414918212
SNX7,0.028838862
DBT,0.000147622
FRRS1,5.50E-08
HIAT1,0.983243231
LPPR4,0.972616088
TRMT13,2.93E-05
SLC30A7,0.028992047
LPPR5,0.959898117
DPYD,4.19E-09
CDC14A,0.015618479
PTBP2,0.992693429
LRRC39,0.039707461
AGL,2.31E-15
GPR88,0.754055177
VCAM1,0.781503144
RTCA,0.002920978
SASS6,5.00E-05
EXTL2,3.16E-05
PALMD,0.03695201
SLC35A3,0.069315375
SLC25A24,4.90E-09
AMY1C,0.844157662
HENMT1,1.42E-06
OLFM3,6.97E-05
RNPC3,0.525297994
AMY2B,7.65E-09
NTNG1,0.441031128
FAM102B,0.047930772
PRMT6,0.024127621
AMY2A,0.005603917
S1PR1,0.484814895
AC093157.1,0.154674835
NBPF4,0.346635144
PRPF38B,0.990908108
DPH5,0.001899435
NBPF6,0.087453851
VAV3,0.020059323
AMY1A,0.365183317
COL11A1,0.999980608
ATXN7L2,0.718954812
PSRC1,1.75E-06
TMEM167B,0.632476719
KIAA1324,2.15E-08
TAF13,0.019850195
WDR47,0.905661618
SORT1,0.99992656
PSMA5,0.974255885
MYBPHL,0.004618441
CELSR2,0.9999992
CLCC1,0.026710088
SARS,0.999150651
STXBP3,7.40E-06
C1orf194,2.50E-07
AKNAD1,8.21E-19
AMIGO1,0.888492589
FNDC7,0.000318365
SYPL2,0.016771099
CYB561D1,0.015830419
GPSM2,2.94E-10
SLC6A17,0.962734836
GPR61,0.801488898
GSTM4,0.000917345
GNAI3,0.038811278
CSF1,0.939718909
LAMTOR5,0.007116048
ALX3,0.208670052
GSTM1,0.34571372
GSTM2,0.008902004
GSTM3,0.000572589
RBM15,0.999853093
GSTM5,0.000214167
AMPD2,0.008542497
UBL4B,0.000847798
EPS8L3,0.000100217
KCNC4,0.000534225
GNAT2,0.008158652
AHCYL1,0.99979528
SLC16A4,0.005835233
STRIP1,0.130901316
DDX20,4.19E-07
KCNA10,0.003059489
DENND2D,1.03E-05
LRIF1,0.000245001
RAP1A,0.934189798
ADORA3,0.006057306
DRAM2,0.001395866
KCNA2,0.884173956
CHI3L2,6.54E-07
CD53,0.024019828
C1orf162,0.006131316
WDR77,0.015726571
OVGP1,0.000935884
ATP5F1,0.012867526
PIFO,7.55E-05
CEPT1,0.94656469
FAM212B,0.003590517
PROK1,0.020669166
CHIA,2.26E-15
DCLRE1B,0.107858132
FAM19A3,0.027147378
BCL2L15,0.003614688
HIPK1,0.999942915
MAGI3,0.570580157
ST7L,1.94E-06
KCND3,0.803752595
LRIG2,3.29E-12
CTTNBP2NL,0.141381252
OLFML3,0.000588287
CAPZA1,0.983027525
RSBN1,0.805139688
MOV10,0.998090428
PPM1J,2.31E-07
PTPN22,3.08E-16
SLC16A1,0.826067878
WNT2B,0.285537291
RHOC,0.586036085
AP4B1,2.69E-08
PHTF1,5.47E-18
SYCP1,0.949997702
NRAS,0.912772901
SYT6,0.032845524
TRIM33,0.999998356
NGF,0.704368812
BCAS2,6.53E-05
CSDE1,0.999951564
ATP1A1,0.99999385
CD58,0.299199171
SIKE1,0.072982309
CASQ2,1.07E-06
AMPD1,3.78E-12
TSHB,0.005758085
IGSF3,0.987084919
SLC22A15,8.66E-06
DENND2C,1.70E-07
MAB21L3,0.000490219
NHLH2,0.537457457
TSPAN2,0.000100587
VANGL1,0.533615186
HAO2,4.48E-08
WDR3,3.05E-07
MAN1A2,0.996263145
VTCN1,7.29E-09
PTGFRN,0.638859233
TBX15,0.877333976
TRIM45,1.45E-06
SPAG17,9.35E-16
ZNF697,0.191081027
HSD3B1,8.51E-05
WARS2,0.601342005
HSD3B2,1.21E-06
CD101,5.54E-10
TTF2,7.35E-16
FAM46C,0.523539098
GDAP2,8.51E-05
HMGCS2,1.06E-08
CD2,0.768323769
PHGDH,0.000436999
REG4,5.62E-05
NBPF10,2.81E-13
ADAM30,0.001938073
LIX1L,0.116630314
FAM72B,0.251829881
PEX11B,0.000510737
ANKRD34A,0.974591387
POLR3GL,0.002440213
HFE2,0.012330397
NOTCH2NL,0.000100623
FCGR1B,0.676508623
AL592284.1,0.336126601
RBM8A,0.962186023
NOTCH2,0.999999993
TXNIP,0.252140354
PPIAL4G,0.606751613
FAM72D,0.5808181
GPR89B,0.791699862
ANKRD35,4.68E-13
NBPF12,0.210636207
BCL9,0.831846217
PDZK1,0.000134102
ACP6,3.14E-05
GJA8,2.68E-05
CHD1L,1.05E-20
POLR3C,8.66E-06
GPR89A,0.847988631
GJA5,0.097996496
CD160,1.91E-05
PIAS3,0.99817498
PRKAB2,0.767108492
RNF115,0.080634744
ITGA10,8.55E-11
NUDT17,0.005379908
FMO5,3.69E-15
PPIAL4A,0.377823123
HIST2H2BE,0.487682589
HIST2H3PS2,0.13598352
NBPF15,0.123939064
FCGR1A,0.971633432
NBPF16,0.09076066
NBPF20,0.000445919
HIST2H2BF,0.025999981
HIST2H3D,0.49893728
CA14,1.43E-09
TARS2,1.87E-08
OTUD7B,0.100123441
HIST2H2AB,0.216215034
SV2A,0.578982695
VPS45,0.00030557
SF3B4,0.918007232
MRPS21,0.353450051
HIST2H2AC,0.209670055
C1orf54,0.178651547
APH1A,0.132136062
C1orf51,0.804527838
BOLA1,0.634184001
ANP32E,0.976918663
PRPF3,0.999998844
ECM1,7.33E-08
PLEKHO1,0.949230797
MTMR11,7.33E-13
RPRD2,0.999977311
ANXA9,3.36E-14
BNIPL,1.03E-09
GABPB2,0.002629052
MCL1,0.950092967
PRUNE,0.010761766
HORMAD1,0.003126913
C1orf56,0.001317284
GOLPH3L,0.022106746
ARNT,0.976348195
ADAMTSL4,7.09E-16
MLLT11,0.473311552
CTSS,0.628282929
ENSA,0.162369766
SETDB1,0.999996684
CERS2,0.910163043
CTSK,0.000135211
FAM63A,8.24E-06
SEMA6C,5.65E-05
CDC42SE1,0.013519491
PIP5K1A,0.014586299
PI4KB,0.998716211
CGN,1.82E-22
SNX27,0.999884819
TNFAIP8L2,0.504728365
SELENBP1,1.22E-06
LYSMD1,0.181950236
POGZ,0.999999128
TMOD4,1.33E-07
PSMB4,0.398813285
RFX5,0.000136786
TUFT1,0.018080099
VPS72,0.24942857
PSMD4,0.984312092
SCNM1,4.73E-05
ZNF687,0.975942573
CELF3,0.293142911
TCHHL1,2.23E-08
THEM4,0.000241348
S100A10,0.173245481
CRCT1,0.00367304
S100A11,0.050106159
OAZ3,9.17E-05
TDRKH,0.006962423
TCHH,3.87E-23
CRNN,0.000495361
LCE3E,0.039000927
RPTN,3.18E-18
THEM5,5.98E-07
MRPL9,0.05130785
FLG2,4.65E-41
HRNR,5.01E-29
RORC,0.997845135
LINGO4,0.002854097
LCE5A,0.076726019
LCE1B,0.027267491
LCE2D,0.139231288
LCE1C,0.02751645
LCE1A,0.000409834
LCE2C,0.022606204
IVL,3.43E-09
LCE3B,0.039623989
LCE3A,0.496361201
LCE2A,0.006193801
LCE3D,7.91E-05
LCE1F,0.029498772
LCE3C,0.496169125
LCE4A,0.003280182
KPRP,7.83E-14
LCE1D,0.003567547
SMCP,0.04299324
LCE2B,0.137251509
LCE1E,0.0003997
SPRR2E,0.154587337
SPRR2A,0.160255855
LOR,0.179479999
SPRR2B,0.157442686
SPRR4,0.582181679
PGLYRP4,2.63E-08
S100A9,0.667440118
SPRR1B,0.172609046
S100A7L2,0.558124074
SPRR1A,0.175108854
PGLYRP3,9.00E-05
SPRR2D,0.003680974
S100A7A,0.031599277
S100A12,0.033529746
S100A8,0.186216605
